Change Document Object,Object Value,Document Number,User,Date,Time,Transaction Code,Change number,Document Number,Created from Planned,Change Flag for Application Object,Language Key,3-Byte field,Data Filter Value for Data Aging
SETS,01060001P0001,879380,SAP_WFRT,2/26/2019,4:01:02 PM,,,,,U,EN,000,
SETS,01060001P0001,879382,SAP_WFRT,2/26/2019,4:01:02 PM,,,,,U,EN,000,
SETS,01060001P0001,879383,SAP_WFRT,2/26/2019,4:01:02 PM,,,,,U,EN,000,
SETS,01060001P0001,879460,SAP_WFRT,2/26/2019,4:01:28 PM,,,,,U,EN,000,
SETS,01060001P0001,879461,SAP_WFRT,2/26/2019,4:01:28 PM,,,,,U,EN,000,
SETS,01060001P0001,879463,SAP_WFRT,2/26/2019,4:01:28 PM,,,,,U,EN,000,
SETS,01060001P0001,879470,SAP_WFRT,2/26/2019,4:01:31 PM,,,,,U,EN,000,
SETS,01060001P0001,879472,SAP_WFRT,2/26/2019,4:01:31 PM,,,,,U,EN,000,
SETS,01060001P0001,879473,SAP_WFRT,2/26/2019,4:01:31 PM,,,,,U,EN,000,
SETS,01060001P0001,879532,SAP_WFRT,2/26/2019,4:01:51 PM,,,,,U,EN,000,
SETS,01060001P0001,879533,SAP_WFRT,2/26/2019,4:01:51 PM,,,,,U,EN,000,
SETS,01060001P0001,879535,SAP_WFRT,2/26/2019,4:01:51 PM,,,,,U,EN,000,
SETS,01060001P0001,879602,SAP_WFRT,2/26/2019,4:02:13 PM,,,,,U,EN,000,
SETS,01060001P0001,879604,SAP_WFRT,2/26/2019,4:02:13 PM,,,,,U,EN,000,
SETS,01060001P0001,879605,SAP_WFRT,2/26/2019,4:02:13 PM,,,,,U,EN,000,
SETS,01060001P0001,879617,SAP_WFRT,2/26/2019,4:02:18 PM,,,,,U,EN,000,
SETS,01060001P0001,879619,SAP_WFRT,2/26/2019,4:02:18 PM,,,,,U,EN,000,
SETS,01060001P0001,879620,SAP_WFRT,2/26/2019,4:02:18 PM,,,,,U,EN,000,
SETS,01060001P0001,885192,SAP_WFRT,2/26/2019,4:32:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885193,SAP_WFRT,2/26/2019,4:32:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885195,SAP_WFRT,2/26/2019,4:32:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885300,SAP_WFRT,2/26/2019,4:32:38 PM,,,,,U,EN,000,
SETS,01060001P0001,885301,SAP_WFRT,2/26/2019,4:32:38 PM,,,,,U,EN,000,
SETS,01060001P0001,885303,SAP_WFRT,2/26/2019,4:32:38 PM,,,,,U,EN,000,
SETS,01060001P0001,885378,SAP_WFRT,2/26/2019,4:33:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885379,SAP_WFRT,2/26/2019,4:33:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885381,SAP_WFRT,2/26/2019,4:33:03 PM,,,,,U,EN,000,
SETS,01060001P0001,885382,SAP_WFRT,2/26/2019,4:33:04 PM,,,,,U,EN,000,
SETS,01060001P0001,885384,SAP_WFRT,2/26/2019,4:33:04 PM,,,,,U,EN,000,
