Purchasing Document,Item,Seq. No. of Account Assgt,Trans./event type,Material Doc. Year,Material Document,Material Doc.Item,PO History Category,Movement type,Posting Date,Quantity,Quantity in OPUn,Amt.in Loc.Cur.,Amount,Currency,GR/IR clearing value in local currency,GR Blck.Stock in OUn,GR blocked stck.OPUn,Debit/Credit ind,Valuation Type,Delivery Completed,Reference,Fisc. Year Ref. Doc.,Reference Document,Reference Doc. Item,Reason for Movement,Entry Date,Time of Entry,Invoice Value,Compliance with Shipping Instr.,Invoice Value in FC,Material,Plant,RevGR despite IR,Sequential Number,Doc. Condition No.,Tax Code,Del. Note Quantity,Delivery Note Unit,Material,GR/IR clearing value in FC,Local currency,Quantity,Batch,Document Date,Calcn of value open,Unplanned Acct Assgmt: Inv. Verification,Created by,Service,Package Number,Service line,Seq. No. of PO Acc. Assignment,SRV Returns Indicator,GR/IR clearing value in FC,FC invoice amount,SAP Release,Quantity,Quantity in OPUn,Amt.in Loc.Cur.,Amount,Val. GR Blocked Stock in OUn,Valuated GR Blocked Stock in OPUn,Origin Acceptance,GR/IR clearing value in local currency,Exch. Rate Diff. Amt,Retention in Document Currency,Retention in Company Code Currency,Posted Retention in Document Currency,Posted Security Retention in CC Crcy,Multiple Account Assignment,Exchange Rate,Origin of an Invoice Item,Delivery,Item,Stock Segment,Data Filter Value for Data Aging,SES Unit of Measure,Logical System,SLQUpd.,Quantity in Parallel Unit of Measure,GR Blocked Stock in Base/Parallel UoM,Parallel Unit of Measure Type,GR Blkd Stk in Basis or Parallel UoM,Die complete flag,Season Year,Season,Collection,Theme,Quantity,Characteristic Value 1,Characteristic Value 2,Characteristic Value 3
4500000596,1,0,1,2020,5000000960,1,E,101,1/21/2020,52.000,52.000,"89,969.88","89,969.88",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:33:56 PM,0.00,,0.00,MZ-RM-R300-01,1710,,0,,,0.000,,,0.00,USD,52.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000597,1,0,1,2020,5000000961,1,E,101,1/21/2020,67.000,67.000,"46,991.79","46,991.79",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:06 PM,0.00,,0.00,MZ-RM-R200-01,1710,,0,,,0.000,,,0.00,USD,67.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000598,1,0,1,2020,5000000962,1,E,101,1/21/2020,125.000,125.000,"18,233.75","18,233.75",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:10 PM,0.00,,0.00,MZ-RM-R100-01,1710,,0,,,0.000,,,0.00,USD,125.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000599,1,0,1,2020,5000000963,1,E,101,1/21/2020,31.000,31.000,"20,741.48","20,741.48",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:15 PM,0.00,,0.00,MZ-RM-M550-01,1710,,0,,,0.000,,,0.00,USD,31.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000604,1,0,1,2020,5000000968,1,E,101,1/21/2020,363.000,363.000,"37,316.40","37,316.40",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:36 PM,0.00,,0.00,MZ-RM-C900-01,1710,,0,,,0.000,,,0.00,USD,363.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000605,1,0,1,2020,5000000969,1,E,101,1/21/2020,"1,483.000","1,483.000","60,595.38","60,595.38",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:39 PM,0.00,,0.00,MZ-TG-Y120,1710,,0,,,0.000,,,0.00,USD,"1,483.000",,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000606,1,0,1,2020,5000000970,1,E,101,1/21/2020,"1,296.000","1,296.000","88,218.72","88,218.72",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:42 PM,0.00,,0.00,MZ-TG-Y200,1710,,0,,,0.000,,,0.00,USD,"1,296.000",,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000607,1,0,1,2020,5000000971,1,E,101,1/21/2020,318.000,318.000,"27,596.04","27,596.04",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/21/2020,7:34:45 PM,0.00,,0.00,MZ-TG-Y240,1710,,0,,,0.000,,,0.00,USD,318.000,,1/21/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000615,1,0,1,2020,5000000980,1,E,101,1/31/2020,78.000,78.000,"134,954.82","134,954.82",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:23:41 PM,0.00,,0.00,MZ-RM-R300-01,1710,,0,,,0.000,,,0.00,USD,78.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
4500000616,1,0,1,2020,5000000981,1,E,101,1/31/2020,80.000,80.000,"56,109.60","56,109.60",USD,0.00,0.000,0.000,S,,X,,,,0,0,1/31/2020,7:23:49 PM,0.00,,0.00,MZ-RM-R200-01,1710,,0,,,0.000,,,0.00,USD,80.000,,1/31/2020,,,BPINST,,0,0,0,,0.00,0.00,754,0.000,0.000,0.00,0.00,0.000,0.000,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,0,,,,,,0.000,0.000,,0.000,,,,,,0.000,,,
