Vendor,Country,Name 1,Name 2,Name 3,Name 4,City,District,PO Box,P.O. Box Postal Code,Postal Code,Region,Search term,Street,Address,Name 1,Name 2,City,Title,Train station,Int. location no. 1,Int. location no. 2,Authorization Group,Industry,Check digit,Data line,DME indicator,Instruction key,Created on,Created by,PBC/ISR number,Group key,Account group,Customer,Alternative Payee,Central deletion flag,Central posting block,Central purchasing block,Language Key,Tax Number 1,Tax Number 2,Sales equalizatn tax,Liable for VAT,Telebox number,Telephone 1,Telephone 2,Fax Number,Teletex number,Telex number,One-time account,Payee in Document,Trading Partner No.,Fiscal address,VAT Registration No.,Natural Person,Block Function,Place of birth,Date of Birth,Sex,Credit Information Number,Last External Review,Actual QM System,Reference Acct Group,P.O. Box city,Plant,Vendor sub-range relevant,Plant level relevant,Factory Calendar,Status of Data Transfer to Next Release,Tax Jurisdiction,Payment block,SCAC,Carrier freight grp,Transportation Zone,Accts for Alt. Payee,ServAgntProcGrp,Tax type,Tax number type,Social Insurance,Social Ins. Code,Tax Number 3,Tax Number 4,Tax Number 5,Tax split,Tax Base,Profession,"Stat. grp, service agent",Ext. manufacturer,URL,Name of Representative,Type of Business,Type of Industry,Confirmation status,Confirmation date,Confirmation time,Central del.block,QM System Valid To,Relevant for POD,Tax Office Responsible,Tax Number at Responsible Tax Authority,Carrier confirmation expected,Micro Company,Terms of Liability,CRC number,Business Purpose Completed Flag,RG Number,Issued by,State,RG Issuing Date,RIC Number,Foreign National Registration,RNE Issuing Date,CNAE,Legal Nature,CRT Number,ICMS Taxpayer,Industry Main Type,Tax Declaration Type,Company Size,Declaration Regimen for PIS/COFINS,Dataelement Exstensibility for Supplier,Capital Amount,Currency,Agency Location Code,Payment Office,PPA Relevant,Processor group,SLAPrepr.Proced,Name 1,Name 2,Name 3,First Name,Title,House number,Street,Date limit: Ext. ID,Annual repetition,Street,House Number,Postal Code,City,Country Key,Business Type,Prtnr's Trading Name,Partner's UTR,Verification Status,Verification Number,Tax Status,Companies House Registration Number,ECC No.,Excise Registration No.,Excise Range,Excise Division,Excise Commissionerate,CST number,LST number,Permanent account number,Exc.Tax Ind. Vendor,SSI status,Type of Vendor,CENVAT Scheme Participant,(Obsolete) Last Changed On ? do not use,(Obsolete) Changed by the user,Service Tax Registration Number,PAN Reference Number,PAN Valid From Date,Vendor for customs,Deductee Reference Number,GST Vendor Classification,Public entity,Deed public use,Social Sec.certificate valid.,Social Sec.certif.submission,CAE code,Absence of debt,Transportation Chain,Staging Time,Scheduling Procedure,CD: Relevant for Collective Numbering
3,US,Vendor S4H,,,,Sanford,,,,32771,FL,,,25785,VENDOR S4H,,SANFORD,,,0,0,,,0,,,,4/7/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
4,US,BP Contact,,,,,,,,,,,,25807,BP CONTACT,,,,,0,0,,,0,,,,4/7/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
5,US,CP,,,,,,,,,,,,25809,CP,,,,,0,0,,,0,,,,4/7/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
6,US,cp1,,,,Sanford,,,,32771,FL,,,25811,CP1,,SANFORD,,,0,0,,,0,,,,4/7/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
7,US,BP Relationship,,,,,,,,,FL,,,25813,BP RELATIONSHIP,,,,,0,0,,,0,,,,4/7/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
9,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25819,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
10,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25823,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
11,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25821,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
12,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25825,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
13,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25827,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
14,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25829,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
15,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25831,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
16,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25833,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
17,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25835,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
18,US,SAP SE,,,,Sanford,,,,32771,FL,IMPORT EXA,International Pwky,25837,SAP SE,,SANFORD,Company,,0,0,,,0,,,,4/8/2022,RSIRGA,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
19,US,CM as CP,,,,Hauppauge,,,,11788,,,,25839,CM AS CP,,HAUPPAUGE,,,0,0,,,0,,,,4/8/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
20,US,Vendor S4H,,,,Hauppague,,,,11788,,,,25859,VENDOR S4H,,HAUPPAGUE,,,0,0,,,0,,,,4/8/2022,BASIS001,,,KRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
21,US,Bob Richard,,,,Central Islip,,,,11722,FL,,,25861,BOB RICHARD,,CENTRAL ISLIP,,,0,0,,,0,,,,4/8/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
22,US,F&H Services,,,,NY City,,,,11788,FL,,,25867,F&H SERVICES,,NY CITY,,,0,0,,,0,,,,4/21/2022,BASIS001,,,KRED,,,,,,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,0,,,,,,,,,,12:00:00 AM,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,
