Doc. Condition No.,ItemNo,Step Number,Counter,Application,Condition type,Valid From,Calculation Type,Basis Value,Amount,Currency,Cond.exchange rate,Pricing Unit,Condition Unit,Numerator,Denominator,Condition Category,Statistical,Scale Type,Accruals,Invoice List Cond.,Condition Origin,Group Condition,Access,Condition Record No.,Sequent.No. of Cond.,Account Key,G/L Account,Tax Code,AcctKey Accruals,Accruals Account,Withholding Tax Code,Vendor,Cond.Rounding Diff.,Value,Document Currency,Condition Control,Inactive Condition,Condition Class,Counter,Condition Factor,Structure Condition,Condition Factor,Scale Basis,Scale Basis Value,Scale Unit of Meas.,Scale Currency,Condition Currency,Value,Intercomp.Billing,Changed Manually,Price Source,Tax jurisdiction level,BitEncryptFlags,Condition Update,Maximum Basis Value,Maximum Amount,Basis Value,Customer,UsedforVariantConfig,Variant Condition,Rel. for Acct Assigt,Matrix Maintenance,Data Filter Value for Data Aging,Formula. ID in Document,Adjusted Quantity,Condition Processing if Value is Zero,Relevant for Account Determination
0000000049,10,910,1,V,DCD1,20171008000000,A,"15,890.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000051,10,910,1,V,DCD1,20171008000000,A,"13,020.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000053,10,910,1,V,DCD1,20171008000000,A,"9,120.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000055,10,910,1,V,DCD1,20171008000000,A,"4,320.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000057,10,910,1,V,DCD1,20171008000000,A,"2,760.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000059,10,910,1,V,DCD1,20171008000000,A,"21,960.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000061,10,910,1,V,DCD1,20171008000000,A,"15,840.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000065,10,910,1,V,DCD1,20171008000000,A,"4,160.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000067,10,910,1,V,DCD1,20171008000000,A,800.000000000,0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000069,10,910,1,V,DCD1,20171008000000,A,"14,720.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000071,10,910,1,V,DCD1,20171008000000,A,"1,440.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000073,10,910,1,V,DCD1,20171008000000,A,"8,480.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000000075,10,910,1,V,DCD1,20171008000000,A,"9,600.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004201,10,910,1,V,DCD1,20190625000000,A,"6,600.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004203,10,910,1,V,DCD1,20190625000000,A,"11,440.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004204,10,910,1,V,DCD1,20190625000000,A,"11,440.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004205,10,910,1,V,DCD1,20190625000000,A,"52,800.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004206,10,910,1,V,DCD1,20190625000000,A,"52,800.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004207,10,910,1,V,DCD1,20190625000000,A,"11,440.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004208,10,910,1,V,DCD1,20190625000000,A,"11,440.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004209,10,910,1,V,DCD1,20190625000000,A,"11,000.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004210,10,910,1,V,DCD1,20190625000000,A,"11,000.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004211,10,910,1,V,DCD1,20190625000000,A,"117,920.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004212,10,910,1,V,DCD1,20190625000000,A,"117,920.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004213,10,910,1,V,DCD1,20190625000000,A,"5,400.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004214,10,910,1,V,DCD1,20190625000000,A,"5,400.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004215,10,910,1,V,DCD1,20190625000000,A,"78,300.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004216,10,910,1,V,DCD1,20190625000000,A,"78,300.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004217,10,910,1,V,DCD1,20190625000000,A,"7,425.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004218,10,910,1,V,DCD1,20190625000000,A,"7,425.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004219,10,910,1,V,DCD1,20190625000000,A,"30,375.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004220,10,910,1,V,DCD1,20190625000000,A,"30,375.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004221,10,910,1,V,DCD1,20190625000000,A,"22,950.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004222,10,910,1,V,DCD1,20190625000000,A,"22,950.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004223,10,910,1,V,DCD1,20190625000000,A,"4,050.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004224,10,910,1,V,DCD1,20190625000000,A,"4,050.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004225,10,910,1,V,DCD1,20190625000000,A,"252,504.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004226,10,910,1,V,DCD1,20190625000000,A,"252,504.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
0000004227,10,910,1,V,DCD1,20190625000000,A,"211,422.000000000",0.000000000,,,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0.00,0.00,USD,A,,A,0,0.00000000000000E+00,,0.00000000000000E+00,,0.000000000,,,,0.00,,,,,0000,,,,0.000000000,,,,,,,,0.00000000000000,,
